Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm,Arbol_Decision_Regressor_pred_ppm,Random_Forest_Regressor_pred_ppm
1921,7498.381,9379.659,1057.0,0.0025,0,0,0.2,0,0.04605516755601004,0,0.0,0,0.01,0.5364671240516602,0.9402472020824609,0.1867157979021039,0.39311005618387646
1922,7746.951,7334.899,1214.0,0.007,0,0,0.0,0,0.09775148748037728,0,0.06818181818181818,0,0.0,0.4159177973449592,0.7218783029727569,0.1867157979021039,0.39180256856407175
1923,11747.495,5863.982,1459.979,0.17,1,0,0.4,1,0.5884957123521409,1,1.0,1,0.78,0.5977698243604068,0.08983654248140821,0.21397319850419855,0.39146231552404825
1924,6072.0,8449.0,564.0,0.012,0,0,0.0,0,0.08976794143230352,0,0.0,0,0.01,0.5210973085861356,0.43217592387418524,0.1867157979021039,0.3909433606503811
1925,4715.121,6236.843,1077.0,0.019,0,0,0.4,0,0.22566961886479675,0,0.06719367588932806,0,0.11,0.22909296472609136,0.9415970694048141,0.37251395480634897,0.39089018359779193
1926,8133.972,6448.141,1393.621,0.017,0,0,0.0,0,0.06395220145030275,0,0.06818181818181818,0,0.06,0.5518085785059272,0.5309760276337818,0.37251395480634897,0.3902033922716793
1927,7538.573,7314.581,1266.0,0.134,1,1,0.6,0,0.3642060797695095,0,0.38461538461538464,1,0.92,0.5633415337637966,1.091552474168553,0.722991173496274,0.38871337486115315
1928,5713.0,6363.0,1363.0,0.0025,0,0,0.0,0,0.006000749640591934,0,0.0,0,0.0,0.28009205566249185,0.9544435625900809,0.1867157979021039,0.38764683057789795
1929,5302.0,8023.0,557.0,0.009,0,0,0.0,0,0.02455275838842692,0,0.0,0,0.0,0.19818692344748437,0.1175995302330967,0.1867157979021039,0.38723856600690093
1930,7173.931,3507.424,1262.249,0.0025,0,0,0.0,0,0.12748237478406982,0,0.06818181818181818,0,0.05,0.6516571979107227,1.1979324925721502,0.1867157979021039,0.3869851699966911
1931,6268.254,8201.132,730.0,0.007,0,0,0.0,0,0.012034207374323803,0,0.0,0,0.01,0.40737745283668647,-0.26105348394825034,0.1867157979021039,0.38625064065862075
1932,5479.011,6750.046,1111.139,0.028,0,0,0.0,0,0.19839220635202992,0,0.0,0,0.02,0.2509460767620266,0.6947006816900234,0.1867157979021039,0.385696824587975
1933,4615.867,6342.23,1039.0,0.034,0,0,0.4,0,0.2040084105875362,0,0.06818181818181818,0,0.02,0.4584140027903739,0.8120685365309747,0.37251395480634897,0.3855503241053636
1934,5409.71,6351.854,1317.0,0.005,0,0,0.2,0,0.05954612674099604,0,0.0,0,0.06,0.4543968214038635,0.07939904592150378,0.17964990763046554,0.3855197008525401
1935,4635.889,6191.478,1039.0,0.041,0,1,0.6,1,0.5636408273319233,0,0.0,0,0.09,1.43588033003832,0.17814831266912892,0.17964990763046554,0.38547529151908594
1936,7575.139,7477.736,1205.0,0.011,0,0,0.0,0,0.06082457836563554,0,0.06818181818181818,0,0.0,0.44497440103514957,0.3351959273338498,0.6375954356047695,0.3840505993018156
1937,7766.117,5612.502,1399.449,0.007,0,0,0.0,0,0.09686578519359199,0,0.06719367588932806,0,0.19,0.37209624069829395,0.1665495494088519,0.1867157979021039,0.38397197590742144
1938,12426.408,9765.04,1399.0,0.012,0,0,0.0,0,0.014901052185370309,0,0.06719367588932806,0,0.13,0.5333609063727338,1.0937592201048199,0.1867157979021039,0.3837752440167469
1939,9909.227,6531.789,1455.0,0.021,0,0,0.0,0,0.012059516047867822,0,0.06719367588932806,0,0.0,0.3982568840098808,2.010258057206992,0.1867157979021039,0.38371326141935114
1940,3368.882,6976.376,43.0,0.02,0,0,0.0,0,0.22407131867299257,0,0.0,0,0.27,0.30659438346601775,0.7342647065770788,10.665890931652221,0.38345456782809884
1941,12403.73,9449.517,1389.59,0.033,0,0,0.0,0,0.047154093397144714,0,0.06719367588932806,0,0.06,0.6052640376544947,0.23508963068578892,0.1867157979021039,0.3828012017373848
1942,12989.375,6612.729,1539.38,0.073,0,0,0.0,0,0.039840908317404396,0,0.0,0,0.12,0.38291561360124066,-0.10398336811148612,0.722991173496274,0.3818994897892951
1943,5771.154,3427.561,1136.18,0.008,0,0,0.2,0,0.13761930564282118,0,0.0,0,0.18,0.1884816751837392,0.5182553881676574,0.21397319850419855,0.38155203033142016
1944,12175.346,10011.087,1386.0,0.011,0,0,0.0,0,0.0015060689726969644,1,0.7,0,0.02,0.4165436763926632,-0.5112234400991523,0.1867157979021039,0.3806573325750158
1945,5429.87,8352.753,559.0,0.02,0,0,0.0,0,0.07145482198710035,0,0.06719367588932806,0,0.01,0.23459315156382612,-0.5750810713769318,0.1867157979021039,0.3805813445807774
1946,5538.733,6831.542,1068.0,0.073,0,0,0.0,0,0.23574310098166956,0,0.06719367588932806,0,0.3,0.49501945391610747,0.6299654484951234,0.1867157979021039,0.37976712808894386
1947,4181.874,7636.848,196.69,0.013,0,0,0.0,0,0.011399973173143866,0,0.06719367588932806,0,0.01,0.6877321930069441,0.4980871938779036,0.1867157979021039,0.37751656654981064
1948,9372.0,6273.0,1492.0,0.034,0,0,0.0,0,0.0735717444788094,0,0.0,0,0.14,0.43209140740259117,0.9259922620612648,0.1867157979021039,0.37665359899628353
1949,6298.897,6480.536,1285.0,0.026,0,0,0.2,0,0.04465310003018796,1,0.6666666666666666,0,0.14,0.4620836355616785,0.2720244069781491,0.1867157979021039,0.3765265376292169
1950,5734.634,3345.364,1143.99,0.23,1,0,0.4,1,0.9955221590843161,1,1.0,1,0.91,0.3193926071893723,1.0625814267803513,0.21397319850419855,0.3763835533115959
