Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
117,13082.933,7638.933,1385.0,8.391,1,1,0.6,1,0.9999318040252695,1,1.0,1,0.8,2.242486178478264
118,9830.0,6294.0,1498.0,0.009,0,0,0.0,0,0.18999124955951824,0,0.06719367588932806,0,0.06,2.2345833017271115
119,4289.216,7630.576,272.04,0.0025,0,0,0.0,0,0.027657074982857716,0,0.0,0,0.01,2.208813658148536
120,6324.454,7869.724,918.0,0.0025,0,0,0.4,0,0.06869794689767439,0,0.0,0,0.01,2.208813658148536
121,6000.052,7621.173,839.0,0.011,0,0,0.0,0,0.171620737682372,0,0.0,0,0.02,2.1974888956550744
122,7128.0,7342.0,1155.0,0.009,0,0,0.4,0,0.09944204362262825,0,0.0,0,0.01,2.1951635500374658
123,6125.7,7520.748,916.0,0.024,0,0,0.4,0,0.24307291391734748,0,0.0,0,0.14,2.1904933070766233
124,7509.852,7513.465,1244.0,0.005,0,0,0.2,0,0.17752759644198693,0,0.0,0,0.09,2.1749140784667733
125,4625.0,7866.0,315.0,0.0025,0,0,0.0,0,0.09843373647715342,0,0.06818181818181818,0,0.02,2.166617791646361
126,6323.0,7596.0,916.0,0.01,0,0,0.2,0,0.16238301191611496,0,0.06719367588932806,0,0.01,2.166617791646361
127,4687.35,7915.15,315.0,0.0025,0,0,0.0,0,0.09767048803861544,0,0.0,0,0.0,2.156939590545333
128,13083.354,7638.403,1385.0,16.681,1,1,0.6,1,0.9999999727105974,1,1.0,1,0.89,2.1489221886053627
129,7969.0,4654.0,1109.0,0.0025,0,0,0.0,0,0.032564244228858404,0,0.0,0,0.0,2.146768927063849
130,3191.0,6517.0,166.0,0.006,0,0,0.0,0,0.004569813674397239,0,0.03278688524590164,0,0.01,2.139780787919591
131,6314.459,8125.515,757.0,0.006,0,0,0.0,0,0.16807481849809763,0,0.06719367588932806,0,0.1,2.1232242873304292
132,9430.0,6324.0,1519.0,0.007,0,0,0.2,0,0.14714895789689822,0,0.06719367588932806,0,0.08,2.090412740710752
133,4635.393,7157.17,657.0,0.0025,0,0,0.0,0,0.14278861726675568,0,0.38461538461538464,0,0.15,2.0901338699980316
134,6323.518,8116.386,757.0,0.0025,0,0,0.0,0,0.14919304062412966,0,0.06719367588932806,0,0.04,2.090133869998031
135,6576.0,8180.0,797.0,0.046,0,0,0.0,0,0.14099958804794185,0,0.0,0,0.08,2.090133869998031
136,5300.192,8533.699,486.0,2.476,1,1,1.0,1,1.0,1,1.0,1,0.83,2.0852385904434754
137,20477.0,6665.0,1264.0,0.361,1,0,0.4,1,0.9855255560108858,1,1.0,0,0.4,2.0682843557283377
138,9687.255,7199.058,1285.0,0.024,0,0,0.0,0,0.08419127736342734,0,0.06719367588932806,0,0.14,2.0547988977233023
139,6791.0,7992.0,938.0,0.0025,0,0,0.2,0,0.13526575413570963,0,0.02702702702702703,0,0.06,2.0500754889374235
140,6361.0,9036.0,564.0,0.0025,0,0,0.2,0,0.11863819189754317,0,0.0,0,0.01,2.0419965257994486
141,9466.0,6711.0,1501.0,0.006,0,0,0.2,0,0.15626112219824984,0,0.06719367588932806,0,0.14,2.0115517847884745
142,6136.853,7489.084,1055.819,0.048,0,0,0.4,0,0.2806421866476661,0,0.0,0,0.1,2.0019601059834726
143,6101.0,7776.0,774.0,0.0025,0,0,0.0,0,0.050601280931227996,0,0.03278688524590164,0,0.01,1.9988260721747306
144,8678.575,8986.867,1093.85,0.0025,0,0,0.0,0,0.01357179591500683,0,0.03278688524590164,0,0.0,1.9988260721747306
145,10037.201,9295.062,1293.0,0.0025,0,0,0.0,0,0.011201053628953218,0,0.0,0,0.0,1.9988260721747306
146,6836.096,7897.925,985.0,0.013,0,0,0.0,0,0.12477132256620539,0,0.06818181818181818,0,0.05,1.9988260721747306
